sample_id,timestamp,subject_id,session_id,camera_position,lighting_condition,exercise_type,active_arm,rom_elbow,upper_arm_angle_std,torso_sway_range,shoulder_angle_range,rep_duration,up_phase_duration,down_phase_duration,elbow_velocity_mean,elbow_velocity_std,motion_smoothness,elbow_drift_range,mean_visibility,label,error_type,notes
90,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,130.73,4.79,2.38,11.31,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
91,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,119.9,5.51,2.34,14.56,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
92,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,112.5,6.89,1.66,18.39,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
93,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,109.93,7.16,1.76,18.2,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
94,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,122.12,8.57,1.49,22.55,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
95,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,114.87,5.29,0.85,15.37,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
96,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,111.47,6.04,2.46,14.9,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
97,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,117.78,4.83,1.78,13.59,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
98,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,123.19,3.31,1.59,9.64,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
99,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,127.99,4.77,1.56,13.96,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
100,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,115.0,7.1,1.35,22.1,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
101,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,125.74,7.59,2.33,25.37,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
102,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,120.62,7.96,1.65,23.79,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
103,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,112.94,6.78,1.91,17.99,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
104,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,119.5,4.93,2.67,10.23,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
105,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,114.6,7.1,1.48,20.55,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
106,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,123.59,8.18,1.65,22.61,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
